ErrorProne_RuleId,SpotBugs_RuleId,ErrorProne_RuleDescription,SpotBugs_RuleDescription
ArrayToString,DMI_INVOKING_TOSTRING_ON_ARRAY,"ArrayToString
Calling toString on an array does not provide useful information.  The toString method on an array will print its identity, such as[I@4488aabb. This is almost never needed. Use Arrays.toString to print ahuman-readable summary. Suppress false positives by adding the suppression annotation @SuppressWarnings(""ArrayToString"") to the enclosing element.","USELESS_STRING: Invocation of toString on an array
The code invokes toString on an array, which will generate a fairly useless result such as [C@16f0472. Consider using Arrays.toString to convert the array into a readable String that gives the contents of the array. See Programming Puzzlers, chapter 3, puzzle 12."
ClassCanBeStatic,SIC_INNER_SHOULD_BE_STATIC,"ClassCanBeStatic
Inner class is non-static but does not reference enclosing class.  An inner class should be static unless it references members of its enclosingclass. An inner class that is made non-static unnecessarily uses more memory anddoes not make the intent of the class clear. Suppress false positives by adding the suppression annotation @SuppressWarnings(""ClassCanBeStatic"") to the enclosing element. ClassCanBeStaticPositiveCase1.java ClassCanBeStaticPositiveCase2.java ClassCanBeStaticPositiveCase3.java","SIC: Should be a static inner class
This class is an inner class, but does not use its embedded reference to the object which created it.  This reference makes the instances of the class larger, and may keep the reference to the creator object alive longer than necessary.  If possible, the class should be made static."
MissingCasesInEnumSwitch,SF_SWITCH_NO_DEFAULT,"MissingCasesInEnumSwitch
Switches on enum types should either handle all values, or have a default case.  Consider a switch statement that doesn’t handle all possible values and doesn’thave a default: The author’s intent isn’t clear. There are three possibilities: The default case is known to be impossible. This could be made clear byadding: \default: throw new AssertionError(color); The code intentionally ‘falls out’ of the switch on the default case, andexecution continues below. This could be made clear by adding: \default: // fall out The code has a bug, and the missing cases should have been handled. To avoid this ambiguity, the Google Java Style Guide requires eachswitch statement on an enum type to either handle all values of the enum, orhave a default statement group. Suppress false positives by adding the suppression annotation @SuppressWarnings(""MissingCasesInEnumSwitch"") to the enclosing element.","SF: Switch statement found where default case is missing
This method contains a switch statement where default case is missing. Usually you need to provide a default case."
LogicalAssignment,QBA_QUESTIONABLE_BOOLEAN_ASSIGNMENT,"LogicalAssignment
Assignment where a boolean expression was expected; use == if this assignment wasn't expected or add parentheses for clarity.  When an assignment expression is used as the condition of a loop, it isn’t clearto the reader whether the assignment was deliberate or it was intended to be anequality test. Parenthesis should be used around assignments in loop conditionsto make it clear to the reader that the assignment is deliberate. That is, instead of this: Prefer while ((x = checkSomething())) { or while (x == checkSomething()) {. Suppress false positives by adding the suppression annotation @SuppressWarnings(""LogicalAssignment"") to the enclosing element.","QBA: Method assigns boolean literal in boolean expression
This method assigns a literal boolean value (true or false) to a boolean variable inside an if or while expression. Most probably this was supposed to be a boolean comparison using ==, not an assignment using =."
FallThrough,SF_SWITCH_FALLTHROUGH,"FallThrough
Switch case may fall through.  Alternate names: fallthrough The Google Java Style Guide §4.8.4.2 requires that within a switchblock, each statement group either terminates abruptly (with a break,continue, return or throw statement), or is marked with a comment toindicate that execution will or might continue into the next statement group.This special comment is not required in the last statement group of the switchblock. Example: Suppress false positives by adding the suppression annotation @SuppressWarnings(""FallThrough"") to the enclosing element.","SF: Switch statement found where one case falls through to the next case
This method contains a switch statement where one case branch will fall through to the next case. Usually you need to end this case with a break or return."
BadInstanceof,SIO_SUPERFLUOUS_INSTANCEOF,"BadInstanceof
instanceof used in a way that is equivalent to a null check.  Flags instanceof checks where the expression can be determined to be asupertype of the type it is compared to. JLS 15.28specifically calls instanceof out as not being a compile-time constantexpression, so the usage of this pattern can lead to unreachable code that won’tbe flagged by the compiler: In general, an instanceof comparison against a superclass is equivalent to anull check: Suppress false positives by adding the suppression annotation @SuppressWarnings(""BadInstanceof"") to the enclosing element.","SIO: Unnecessary type check done using instanceof operator
Type check performed using the instanceof operator where it can be statically determined whether the object is of the type requested."
IntLongMath,ICAST_INTEGER_MULTIPLY_CAST_TO_LONG,"IntLongMath
Expression of type int may overflow before being assigned to a long.  Performing an arithmetic expression on arguments of type int and then assigningthe result to a long is error-prone. The result is widened to a long as thefinal step, and the intermediate results may overflow. For example, the following expression exceeds Integer.MAX_VALUE and overflowsto -1857093632: The corrected code (which has a value of 86400000000000) is: Suppress false positives by adding the suppression annotation @SuppressWarnings(""IntLongMath"") to the enclosing element.","ICAST: Result of integer multiplication cast to long
This code performs integer multiply and then converts the result to a long, as in:"
ArrayEquals,EC_BAD_ARRAY_COMPARE,"ArrayEquals
Reference equality used to compare arrays.  Generally when comparing arrays for equality, the programmer intends to checkthat the the contents of the arrays are equal rather than that they are actuallythe same object. But many commonly used equals methods compare arrays forreference equality rather than content equality. These include the instance.equals() method, Guava’s com.google.common.base.Objects#equal(), JDK’sjava.util.Objects#equals(), and Android’sandroid.support.v4.util.ObjectsCompat#equals. If reference equality is needed, == should be used instead for clarity.Otherwise, use java.util.Arrays#equals() to compare the contents of the arrays. Suppress false positives by adding the suppression annotation @SuppressWarnings(""ArrayEquals"") to the enclosing element. ArrayEqualsPositiveCases2.java ArrayEqualsNegativeCases2.java","EC: Invocation of equals() on an array, which is equivalent to ==
This method invokes the .equals(Object o) method on an array. Since arrays do not override the equals method of Object, calling equals on an array is the same as comparing their addresses. To compare the contents of the arrays, use java.util.Arrays.equals(Object[], Object[]). To compare the addresses of the arrays, it would be less confusing to explicitly check pointer equality using ==."
SubstringOfZero,DMI_USELESS_SUBSTRING,"SubstringOfZero
String.substring(0) returns the original String.  String.substring(int) gives you the substring from the index to the end, inclusive.Calling that method with an index of 0 will return the same String. Suppress false positives by adding the suppression annotation @SuppressWarnings(""SubstringOfZero"") to the enclosing element.","DMI: Invocation of substring(0), which returns the original value
This code invokes substring(0) on a String, which returns the original value."
ArrayHashCode,DMI_INVOKING_HASHCODE_ON_ARRAY,"ArrayHashCode
hashcode method on array does not hash array contents.  Computing a hashcode for an array is tricky. Typically you want a hashcode thatdepends on the value of each element in the array, but many of the common waysto do this actually return a hashcode based on the identity of the arrayrather than its contents. This check flags attempts to compute a hashcode from an array that do not takethe contents of the array into account. There are several ways to mess this up: Call the instance .hashCode() method on an array. Call the JDK method java.util.Objects#hashCode() with an argument of arraytype. Call the JDK method java.util.Objects#hash() or the Guava methodcom.google.common.base.Objects#hashCode() with multiple arguments, atleast one of which is an array. Call the JDK method java.util.Objects#hash() or the Guava methodcom.google.common.base.Objects#hashCode() with a single argument ofprimitive array type. Because these are varags methods that takeObject..., the primitive array is autoboxed into a single-element Objectarray, and these methods use the identity hashcode of the primitive arrayrather than examining its contents. Note that calling these methods on anargument of Object array type actually does the right thing because noboxing is needed. Please use either java.util.Arrays#hashCode() (for single-dimensional arrays)or java.util.Arrays#deepHashCode() (for multidimensional arrays) to compute ahash value that depends on the contents of the array. If you really intended tocompute the identity hash code, consider usingjava.lang.System#identityHashCode() instead for clarity. Suppress false positives by adding the suppression annotation @SuppressWarnings(""ArrayHashCode"") to the enclosing element.","DMI: Invocation of hashCode on an array
The code invokes hashCode on an array. Calling hashCode on an array returns the same value as System.identityHashCode, and ignores the contents and length of the array. If you need a hashCode that depends on the contents of an array a, use java.util.Arrays.hashCode(a)."
ToStringReturnsNull,NP_TOSTRING_COULD_RETURN_NULL,"ToStringReturnsNull
An implementation of Object.toString() should never return null.  Suppress false positives by adding the suppression annotation @SuppressWarnings(""ToStringReturnsNull"") to the enclosing element.","NP: toString method may return null
This toString method seems to return null in some circumstances. A liberal reading of the spec could be interpreted as allowing this, but it is probably a bad idea and could cause other code to break. Return the empty string or some other appropriate string rather than null."
EqualsHashCode,HE_EQUALS_USE_HASHCODE,"EqualsHashCode
Classes that override equals should also override hashCode.  The contract for Object.hashCode states that if two objects are equal, thencalling the hashCode() method on each of the two objects must produce the sameresult. Implementing equals() but not hashCode() causes broken behaviourwhen trying to store the object in a collection. See Effective Java 3rd Edition §11 for more information and a discussion of howto correctly implement hashCode(). Suppress false positives by adding the suppression annotation @SuppressWarnings(""EqualsHashCode"") to the enclosing element.","HE: Class defines equals() and uses Object.hashCode()
This class overrides equals(Object), but does not override hashCode(), and inherits the implementation of hashCode() from java.lang.Object (which returns the identity hash code, an arbitrary value assigned to the object by the VM).  Therefore, the class is very likely to violate the invariant that equal objects must have equal hashcodes."
MathRoundIntLong,ICAST_INT_CAST_TO_FLOAT_PASSED_TO_ROUND,"MathRoundIntLong
Math.round(Integer) results in truncation.  Math.round() called with an integer or long type results in truncation because Math.round only accepts floats or doubles and some integers and longs can’t be represented with float. Suppress false positives by adding the suppression annotation @SuppressWarnings(""MathRoundIntLong"") to the enclosing element.","ICAST: int value cast to float and then passed to Math.round
This code converts an int value to a float precision floating point number and then passing the result to the Math.round() function, which returns the int/long closest to the argument. This operation should always be a no-op, since the converting an integer to a float should give a number with no fractional part. It is likely that the operation that generated the value to be passed to Math.round was intended to be performed using floating point arithmetic."
ReturnValueIgnored,RV_RETURN_VALUE_IGNORED,"ReturnValueIgnored
Return value of this method must be used.  Alternate names: ResultOfMethodCallIgnored, CheckReturnValue Certain library methods do nothing useful if their return value is ignored. Forexample, String.trim() has no side effects, and you must store the return valueof String.intern() to access the interned string. This check encodes a list ofmethods in the JDK whose return value must be used and issues an error if theyare not. Suppress false positives by adding the suppression annotation @SuppressWarnings(""ReturnValueIgnored"") to the enclosing element.","RV: Method ignores return value
The return value of this method should be checked. One common cause of this warning is to invoke a method on an immutable object, thinking that it updates the object. For example, in the following code fragment,"
ArraysAsListPrimitiveArray,VA_PRIMITIVE_ARRAY_PASSED_TO_OBJECT_VARARG,"ArraysAsListPrimitiveArray
Arrays.asList does not autobox primitive arrays, as one might expect.  Arrays.asList does not autobox primitive arrays, as one might expect. If youintended to autobox the primitive array, use an asList method from Guava thatdoes autobox. If you intended to create a singleton list containing theprimitive array, use Collections.singletonList to make your intent clearer. Suppress false positives by adding the suppression annotation @SuppressWarnings(""ArraysAsListPrimitiveArray"") to the enclosing element.","VA: Primitive array passed to function expecting a variable number of object arguments
This code passes a primitive array to a function that takes a variable number of object arguments. This creates an array of length one to hold the primitive array and passes it to the function."
InfiniteRecursion,IL_INFINITE_RECURSIVE_LOOP,"InfiniteRecursion
This method always recurses, and will cause a StackOverflowError.  A method that always calls itself will cause a StackOverflowError. The fix may be to call another method with the same name: or to call the method on a different instance: Suppress false positives by adding the suppression annotation @SuppressWarnings(""InfiniteRecursion"") to the enclosing element.","IL: An apparent infinite recursive loop
This method unconditionally invokes itself. This would seem to indicate an infinite recursive loop that will result in a stack overflow."
EqualsIncompatibleType,EC_UNRELATED_TYPES,"EqualsIncompatibleType
An equality test between objects with incompatible types always returns false.  Consider the following code: We understand that any Integer will not be equal to any String. However,the signature of the equals method accepts any Object, so the compiler willhappily allow us to pass an Integer to the equals method. However, it willalways return false, which is probably not what we intended. This check detects circumstances where the equals method is called when the twoobjects in question can never be equal to each other. We check the followingequality methods: Good! Many tests of equals methods neglect to test that equals on an unrelatedobject return false. We recommend using Guava’s EqualsTester to perform tests of yourequals method. Simply give it a collection of objects of your class, broken intogroups that should be equal to each other, and EqualsTester will ensure that: Which should exhaustively check all of the properties of equals andhashCode. The javadoc of Object.equals(Object) defines object equality veryprecisely: The equals method implements an equivalence relation on non-null objectreferences: It is reflexive: for any non-null reference value x, x.equals(x) should returntrue. It is symmetric: for any non-null reference values x and y, x.equals(y) shouldreturn true if and only if y.equals(x) returns true. It is transitive: for any non-null reference values x, y, and z, ifx.equals(y) returns true and y.equals(z) returns true, then x.equals(z) shouldreturn true. It is consistent: for any non-null reference values x and y, multipleinvocations of x.equals(y) consistently return true or consistently returnfalse, provided no information used in equals comparisons on the objects ismodified. For any non-null reference value x, x.equals(null) should return false. TIP: EqualsTester validates each of these properties. For most simple value objects (e.g.: a Point containing x and ycoordinates), this generally means that the equals method will only return trueif the other object has the exact same class, and each of the components isequal to the corresponding component in the other object. Here, there arenumerous tools in the Java ecosystem to generate the appropriate equals andhashCode method implementations, including AutoValue. Another pattern often seen is to declare a common supertype with a definedequals method (like List, which defines equality by having equal elements inthe same order). Then, different subclasses of that supertype (LinkedList andArrayList) can be equal to other classes with that supertype, since theconcrete class of the List is irrelevant. This checker will allow these typesof equality, as we detect when two objects share a common supertype with anequals implementation and allow that to succeed. Outside of these two general groups of equals methods, however, it’s verydifficult to produce correctly-behaving equals methods. Most of the time, whenequals is implemented in a non-obvious manner, one or more of the propertiesabove isn’t satisfied (generally the symmetric property). This can result insubtle bugs, explained below. Here, Foo’s equals method is defined to accept a String value in addition toother Foo’s. This may appear to work at first, but you end up with somecomplex situations: Suppress false positives by adding the suppression annotation @SuppressWarnings(""EqualsIncompatibleType"") to the enclosing element.","EC: Call to equals() comparing different types
This method calls equals(Object) on two references of different class types and analysis suggests they will be to objects of different classes at runtime. Further, examination of the equals methods that would be invoked suggest that either this call will always return false, or else the equals method is not be symmetric (which is a property required by the contract for equals in class Object)."
BigDecimalLiteralDouble,DMI_BIGDECIMAL_CONSTRUCTED_FROM_DOUBLE,"BigDecimalLiteralDouble
new BigDecimal(double) loses precision in this case.  BigDecimal’s double can lose precision in surprising ways. java {bad}  // these are the same:  new BigDecimal(0.1)  new BigDecimal(""0.1000000000000000055511151231257827021181583404541015625"") Prefer the BigDecimal.valueOf(double) method or the new BigDecimal(String)constructor. NOTE BigDecimal.valueOf(double) does not suffer from the same problem; it isequivalent to new BigDecimal(Double.valueOf(double)), and while 0.1 is notexactly representable, Double.valueOf(0.1) yields ""0.1"". As long asFloatingPointLiteralPrecision doesn’tgenerate a warning, BigDecimal.valueOf is safe. Suppress false positives by adding the suppression annotation @SuppressWarnings(""BigDecimalLiteralDouble"") to the enclosing element.","DMI: BigDecimal constructed from double that isn’t represented precisely
This code creates a BigDecimal from a double value that doesn't translate well to a decimal number. For example, one might assume that writing new BigDecimal(0.1) in Java creates a BigDecimal which is exactly equal to 0.1 (an unscaled value of 1, with a scale of 1), but it is actually equal to 0.1000000000000000055511151231257827021181583404541015625. You probably want to use the BigDecimal.valueOf(double d) method, which uses the String representation of the double to create the BigDecimal (e.g., BigDecimal.valueOf(0.1) gives 0.1)."
