Sonarqube_RuleId,PMD_RuleId,Sonarqube_RuleDescription,PMD_RuleDescription
S1153,UselessStringValueOf,"String.valueOf() should not be appended to a String
 Appending String.valueOf() to a String decreases the code readability. The argument passed to String.valueOf() should be directly appended instead.  

public void display(int i){
  System.out.println(""Output is "" + String.valueOf(i));    // Noncompliant
}
public void display(int i){
  System.out.println(""Output is "" + i);                    // Compliant
}","UselessStringValueOf
No need to call String.valueOf to append to a string; just use the valueOf() argument directly.  
public String convert(int i) {
    String s;
    s = ""a"" + String.valueOf(i);    // not required
    s = ""a"" + i;                    // preferred approach
    return s;
}
"
S1111,AvoidCallingFinalize,"The Object.finalize() method should not be called
 According to the official javadoc documentation, this Object.finalize() is called by the garbage collector on an object when garbage collection determines that there are no more references to the object. Calling this method explicitly breaks this contract and so is misleading.  See  - Explicit Call to Finalize() - Do not use finalizers 

public void dispose() throws Throwable {
  this.finalize();                       // Noncompliant
}","AvoidCallingFinalize
The method Object.finalize() is called by the garbage collector on an object when garbage collection determines that there are no more references to the object. It should not be invoked by application logic.  Note that Oracle has declared Object.finalize() as deprecated since JDK 9.  
void foo() {
    Bar b = new Bar();
    b.finalize();
}
"
S1114,FinalizeDoesNotCallSuperFinalize,"""super.finalize()"" should be called at the end of ""Object.finalize()"" implementations
 Overriding the Object.finalize() method must be done with caution to dispose some system resources. Calling the super.finalize() at the end of this method implementation is highly recommended in case parent implementations must also dispose some system resources.   See  - finalize() Method Without super.finalize() - Do not use finalizers 

protected void finalize() {   // Noncompliant; no call to super.finalize();
  releaseSomeResources();
}

protected void finalize() {
  super.finalize();  // Noncompliant; this call should come last
  releaseSomeResources();
}
protected void finalize() {
  releaseSomeResources();
  super.finalize();
}","FinalizeDoesNotCallSuperFinalize
If the finalize() is implemented, its last action should be to call super.finalize. Note that Oracle has declared Object.finalize() as deprecated since JDK 9.  
protected void finalize() {
    something();
    // neglected to call super.finalize()
}
"
S2093,UseTryWithResources,"Try-with-resources should be used
 Java 7 introduced the try-with-resources statement, which guarantees that the resource in question will be closed. Since the new syntax is closer to bullet-proof, it should be preferred over the older try/catch/finally version. This rule checks that close-able resources are opened in a try-with-resources statement. Note that this rule is automatically disabled when the project's sonar.java.source is lower than 7.   or See  - Use a try-with-resources statement to safely handle closeable resources 

FileReader fr = null;
BufferedReader br = null;
try {
  fr = new FileReader(fileName);
  br = new BufferedReader(fr);
  return br.readLine();
} catch (...) {
} finally {
  if (br != null) {
    try {
      br.close();
    } catch(IOException e){...}
  }
  if (fr != null ) {
    try {
      br.close();
    } catch(IOException e){...}
  }
}
try (
    FileReader fr = new FileReader(fileName);
    BufferedReader br = new BufferedReader(fr)
  ) {
  return br.readLine();
}
catch (...) {}
try (BufferedReader br =
        new BufferedReader(new FileReader(fileName))) { // no need to name intermediate resources if you don't want to
  return br.readLine();
}
catch (...) {}","UseTryWithResources
Java 7 introduced the try-with-resources statement. This statement ensures that each resource is closed at the end of the statement. It avoids the need of explicitly closing the resources in a finally block. Additionally exceptions are better handled: If an exception occurred both in the try block and finally block, then the exception from the try block was suppressed. With the try-with-resources statement, the exception thrown from the try-block is preserved.  
public class TryWithResources {
    public void run() {
        InputStream in = null;
        try {
            in = openInputStream();
            int i = in.read();
        } catch (IOException e) {
            e.printStackTrace();
        } finally {
            try {
                if (in != null) in.close();
            } catch (IOException ignored) {
                // ignored
            }
        }
        // better use try-with-resources
        try (InputStream in2 = openInputStream()) {
            int i = in2.read();
        }
    }
}
"
S1858,StringToString,"""toString()"" should never be called on a String object
 Invoking a method designed to return a string representation of an object which is already a string is a waste of keystrokes. This redundant construction may be optimized by the compiler, but will be confusing in the meantime.  

String message = ""hello world"";
System.out.println(message.toString()); // Noncompliant;
String message = ""hello world"";
System.out.println(message);","StringToString
Avoid calling toString() on objects already known to be string instances; this is unnecessary.  
private String baz() {
    String bar = ""howdy"";
    return bar.toString();
}
"
S1192,AvoidDuplicateLiterals,"String literals should not be duplicated
 Duplicated string literals make the process of refactoring error-prone, since you must be sure to update all occurrences. On the other hand, constants can be referenced from many places, but only need to be updated in a single place.  With the default threshold of 3:  Exceptions To prevent generating some false-positives, literals having less than 5 characters are excluded.

public void run() {
  prepare(""action1"");                              // Noncompliant - ""action1"" is duplicated 3 times
  execute(""action1"");
  release(""action1"");
}

@SuppressWarning(""all"")                            // Compliant - annotations are excluded
private void method1() { /* ... */ }
@SuppressWarning(""all"")
private void method2() { /* ... */ }

public String method3(String a) {
  System.out.println(""'"" + a + ""'"");               // Compliant - literal ""'"" has less than 5 characters and is excluded
  return """";                                       // Compliant - literal """" has less than 5 characters and is excluded
}
private static final String ACTION_1 = ""action1"";  // Compliant

public void run() {
  prepare(ACTION_1);                               // Compliant
  execute(ACTION_1);
  release(ACTION_1);
}","AvoidDuplicateLiterals
Code containing duplicate String literals can usually be improved by declaring the String as a constant field.  
private void bar() {
     buz(""Howdy"");
     buz(""Howdy"");
     buz(""Howdy"");
     buz(""Howdy"");
}
private void buz(String x) {}
"
S2133,InstantiationToGetClass,"Objects should not be created only to ""getClass""
 Creating an object for the sole purpose of calling getClass on it is a waste of memory and cycles. Instead, simply use the class' .class property.  

MyObject myOb = new MyObject();  // Noncompliant
Class c = myOb.getClass();
Class c = MyObject.class;","InstantiationToGetClass
Avoid instantiating an object just to call getClass() on it; use the .class public member instead.  
// replace this
Class c = new String().getClass();
// with this:
Class c = String.class;
"
S1201,SuspiciousEqualsMethodName,"""equals"" method overrides should accept ""Object"" parameters
 ""equals"" as a method name should be used exclusively to override Object.equals(Object) to prevent any confusion. It is tempting to overload the method to take a specific class instead of Object as parameter, to save the class comparison check. However, this will not work as expected when that is the only override.  

class MyClass {
  private int foo = 1;

  public boolean equals(MyClass o) {  // Noncompliant; does not override Object.equals(Object)
    return o != null &amp;&amp; o.foo == this.foo;
  }

  public static void main(String[] args) {
    MyClass o1 = new MyClass();
    Object o2 = new MyClass();
    System.out.println(o1.equals(o2));  // Prints ""false"" because o2 an Object not a MyClass
  }
}

class MyClass2 {
  public boolean equals(MyClass2 o) {  // Ignored; `boolean equals(Object)` also present
    //..
  }

  public boolean equals(Object o) {
    //...
  }
}
class MyClass {
  private int foo = 1;

  @Override
  public boolean equals(Object o) {
    if (this == o) {
        return true;
    }
    if (o == null || getClass() != o.getClass()) {
      return false;
    }

    MyClass other = (MyClass)o;
    return this.foo == other.foo;
  }

  /* ... */
}

class MyClass2 {
  public boolean equals(MyClass2 o) {
    //..
  }

  public boolean equals(Object o) {
    //...
  }
}","SuspiciousEqualsMethodName
The method name and parameter number are suspiciously close to equals(Object), which can denote an intention to override the equals(Object) method.  
public class Foo {
   public int equals(Object o) {
     // oops, this probably was supposed to be boolean equals
   }
   public boolean equals(String s) {
     // oops, this probably was supposed to be equals(Object)
   }
   public boolean equals(Object o1, Object o2) {
     // oops, this probably was supposed to be equals(Object)
   }
}
"
S2111,AvoidDecimalLiteralsInBigDecimalConstructor,"""BigDecimal(double)"" should not be used
 Because of floating point imprecision, you're unlikely to get the value you expect from the BigDecimal(double) constructor. From :  The results of this constructor can be somewhat unpredictable. One might assume that writing new BigDecimal(0.1) in Java creates a BigDecimal which is exactly equal to 0.1 (an unscaled value of 1, with a scale of 1), but it is actually equal to 0.1000000000000000055511151231257827021181583404541015625. This is because 0.1 cannot be represented exactly as a double (or, for that matter, as a binary fraction of any finite length). Thus, the value that is being passed in to the constructor is not exactly equal to 0.1, appearances notwithstanding.  Instead, you should use BigDecimal.valueOf, which uses a string under the covers to eliminate floating point rounding errors, or the constructor that takes a String argument.   See  - Do not construct BigDecimal objects from floating-point literals 

double d = 1.1;

BigDecimal bd1 = new BigDecimal(d); // Noncompliant; see comment above
BigDecimal bd2 = new BigDecimal(1.1); // Noncompliant; same result
double d = 1.1;

BigDecimal bd1 = BigDecimal.valueOf(d);
BigDecimal bd2 = new BigDecimal(""1.1""); // using String constructor will result in precise value","AvoidDecimalLiteralsInBigDecimalConstructor
One might assume that the result of ""new BigDecimal(0.1)"" is exactly equal to 0.1, but it is actually equal to .1000000000000000055511151231257827021181583404541015625. This is because 0.1 cannot be represented exactly as a double (or as a binary fraction of any finite length). Thus, the long value that is being passed in to the constructor is not exactly equal to 0.1, appearances notwithstanding.  The (String) constructor, on the other hand, is perfectly predictable: ‘new BigDecimal(""0.1"")’ is exactly equal to 0.1, as one would expect.  Therefore, it is generally recommended that the (String) constructor be used in preference to this one.  
BigDecimal bd = new BigDecimal(1.123);       // loss of precision, this would trigger the rule
BigDecimal bd = new BigDecimal(""1.123"");     // preferred approach
BigDecimal bd = new BigDecimal(12);          // preferred approach, ok for integer values
"
S1157,UnnecessaryCaseChange,"Case insensitive string comparisons should be made without intermediate upper or lower casing
 Using toLowerCase() or toUpperCase() to make case insensitive comparisons is inefficient because it requires the creation of temporary, intermediate String objects.   Exceptions No issue will be raised when a locale is specified because the result could be different from ""equalsIgnoreCase"". (e.g.: using the Turkish locale)

boolean result1 = foo.toUpperCase().equals(bar);             // Noncompliant
boolean result2 = foo.equals(bar.toUpperCase());             // Noncompliant
boolean result3 = foo.toLowerCase().equals(bar.LowerCase()); // Noncompliant
boolean result = foo.equalsIgnoreCase(bar);                  // Compliant
boolean result1 = foo.toUpperCase(locale).equals(bar);             // Compliant","UnnecessaryCaseChange
Using equalsIgnoreCase() is faster than using toUpperCase/toLowerCase().equals()  
boolean answer1 = buz.toUpperCase().equals(""baz"");              // should be buz.equalsIgnoreCase(""baz"")
boolean answer2 = buz.toUpperCase().equalsIgnoreCase(""baz"");    // another unnecessary toUpperCase()
"
